address,x,y
603 BEDOK RESERVOIR RD,36808.0755534722,34690.5039246548
21 CHAI CHEE RD,37916.6155465674,34223.5465430077
672 JLN DAMAI,36395.5259924717,34920.1872827336
415 BEDOK NTH AVE 2,38788.6559527237,34651.6693448462
763 BEDOK RESERVOIR VIEW,39297.2214603322,35361.8137520235
805 CHAI CHEE RD,37827.6623918153,34060.7264624853
723 BEDOK RESERVOIR RD,38643.9427854205,35459.3477893546
722 BEDOK RESERVOIR RD,38560.1667876756,35424.2479760572
219C BEDOK CTRL,39151.3675835263,34121.5858433265
640 BEDOK RESERVOIR RD,35972.1903446699,34922.6285166908
160 BEDOK STH AVE 3,40451.6317049786,33502.8462673146
94C BEDOK NTH AVE 4,40165.030826116,35090.0796895269
22 SIN MING RD,28676.4225484971,37707.1341607384
407 SIN MING AVE,28099.7196022905,38389.2439376432
105 BISHAN ST 12,29563.2400869839,36447.7445298564
167 BISHAN ST 13,30456.9435917661,36680.8955394886
111 BISHAN ST 12,29640.9649396911,36577.4040365312
181 BISHAN ST 13,30177.0675929897,36804.5898016635
166 BISHAN ST 13,30438.0271915905,36775.9941543154
109 BISHAN ST 12,29632.7857435234,36542.3594017662
115 BISHAN ST 12,29717.3597566588,36671.4885225613
260 BISHAN ST 22,28992.7323008813,37963.5010165609
275A BISHAN ST 24,29135.2732560653,37646.4244853444
214 BISHAN ST 23,29667.6393873096,37732.2893674504
182 BISHAN ST 13,30195.7973910468,36924.4249564502
448 BRIGHT HILL DR,27789.9989478178,37831.1684534419
402 SIN MING AVE,27937.7132462421,38313.5731005799
128 BISHAN ST 12,29908.4102710392,36469.1301013399
303 SHUNFU RD,28574.0194216967,36876.1622023936
231 BISHAN ST 23,29394.1232064683,37707.8868044205
134 BISHAN ST 12,30087.9181806324,36394.2421154063
342 BT BATOK ST 34,18569.0280565582,38293.2123727556
530 BT BATOK ST 51,18849.2776227901,37585.3856153619
145 BT BATOK ST 11,18029.2176357908,36898.8612832986
528 BT BATOK ST 51,18849.1051860871,37637.2979315538
537 BT BATOK ST 52,18825.2906089099,37467.4219300076
213 BT BATOK ST 21,19005.4350239327,36550.0071224086
219 BT BATOK ST 21,19283.9763559671,36592.9944090471
235 BT BATOK EAST AVE 5,19428.7369532008,36734.108137995
130 BT BATOK WEST AVE 6,18266.5455061039,37019.1809377
212 BT BATOK ST 21,18974.3265588433,36591.4026460517
346 BT BATOK ST 34,18790.0613697134,38280.8394263722
226 BT BATOK CTRL,19080.829544574,36761.747317059
247 BT BATOK EAST AVE 5,19504.4003443411,36893.7419078723
169 BT BATOK WEST AVE 8,17715.8621899569,36526.708463015
154 BT BATOK ST 11,18058.0542162899,36651.4517529681
260 BT BATOK EAST AVE 4,19731.5192777663,37002.6932405382
360 BT BATOK ST 31,18797.2175988359,38125.5525324419
217 BT BATOK ST 21,19253.7166959448,36540.6518031973
178 BT BATOK WEST AVE 8,17904.6712088026,36465.5832687411
265 BT BATOK EAST AVE 4,19825.1961448612,36902.7095547486
134 BT BATOK WEST AVE 6,18116.5585966576,37077.7480030619
301 BT BATOK ST 31,18592.385466109,37651.2367012724
289E BT BATOK ST 25,19752.0180578632,36261.5869863853
244 BT BATOK EAST AVE 5,19533.2080794526,36811.416291371
248 BT BATOK EAST AVE 5,19462.6055859933,36930.413023008
290D BT BATOK EAST AVE 3,19557.9363865219,36283.8403106928
395 BT BATOK WEST AVE 5,18982.2204187289,38706.0485412944
642 BT BATOK CTRL,18917.5034136316,36791.9509207737
185 BT BATOK WEST AVE 6,18168.6071490459,36574.171718549
106 BT BATOK CTRL,18414.6762314485,36705.25857253
210 BT BATOK ST 21,18722.6690078033,36402.0261327792
386 BT BATOK WEST AVE 5,19012.082054765,38443.1579966731
394 BT BATOK WEST AVE 5,19026.846928562,38717.7915806696
190 BT BATOK WEST AVE 6,18287.4596234728,36391.5961790737
206 BT BATOK ST 21,18658.9469415983,36533.8164449707
211 BT BATOK ST 21,18766.779297174,36461.5950986706
391 BT BATOK WEST AVE 5,19031.2872115057,38654.83414427
205 BT BATOK ST 21,18733.9354777746,36583.5507981274
193 BT BATOK WEST AVE 6,18106.9663094012,36460.5266993809
624 BT BATOK CTRL,18672.895003587,37050.1498673838
290A BT BATOK ST 24,19454.4268135773,36156.8185074609
141 BT BATOK ST 11,17972.1458996283,36950.6858223397
120 BT BATOK CTRL,18472.9781190045,37018.9709384292
289A BT BATOK ST 25,19897.9974257294,36292.4890843611
10 JLN BT HO SWEE,27928.4602933526,29986.124802364
2 JLN BT HO SWEE,27839.1198900174,29967.3105263654
45 TELOK BLANGAH DR,25355.9028758081,28249.9684811365
36 BEO CRES,27303.1293190625,30085.7978781052
